UserID,Age,Salary,ExperienceYears,Department,HoursPerWeek,PerformanceScore,Remote,Satisfaction,ProjectsHandled
72,59,43163,12,HR,37,5.667328999445128,true,3,4
114,25,97194,20,Support,41,6.544744466317358,false,5,9
115,52,107806,21,HR,43,8.548591556204268,false,1,3
154,43,51630,21,HR,35,6.7296309420994715,true,3,18
376,45,51360,21,Engineering,32,6.009157399848783,false,1,1
841,34,42881,29,Engineering,41,0.033625071608925916,false,1,11
928,21,108199,5,Sales,45,8.577991842740783,false,2,3
957,31,94210,16,Sales,30,4.658217557666515,false,1,6
1293,54,123464,14,Engineering,48,4.958966523296857,true,1,7
1379,66,40892,34,HR,59,6.658044226976677,false,2,19
1555,53,103058,20,Support,48,0.9939014804994806,true,5,15
1703,42,31245,10,Engineering,51,3.020527031679964,false,2,8
1803,32,91521,13,Support,46,2.6053937161346754,true,4,4
1831,50,75312,22,HR,38,2.2166262821730163,false,2,15
2451,21,53572,35,Sales,43,3.78922456032294,true,3,14
2495,24,89884,28,HR,58,9.3014657889257,false,2,13
3075,63,142051,16,Sales,42,5.170984041924045,false,3,2
3455,43,42150,38,Support,47,9.439483968603064,true,4,14
3471,61,129074,17,Engineering,31,1.7618197467484065,true,1,1
3496,40,141860,14,Marketing,49,9.860036633090774,false,4,4
3672,39,113920,7,Support,57,8.863629534042014,true,1,12
3725,54,104527,0,Marketing,53,9.446081966616317,false,4,4
3732,56,69697,35,Engineering,50,5.415462587052925,false,3,15
3938,65,111481,35,Sales,31,2.119696229893846,false,3,18
4077,19,92668,20,Support,39,8.659847675836106,true,4,15
4087,25,102219,16,HR,50,5.45575089858251,true,5,13
4427,37,91710,35,HR,56,0.31652102483554656,true,4,17
4788,46,115779,12,Engineering,33,3.390958532396564,true,5,7
4957,47,142909,27,Sales,48,8.555486723108501,true,4,13
5051,65,97696,23,Sales,55,2.319604111563968,true,2,11
5124,38,79648,35,Engineering,41,6.954725349160747,false,1,10
5615,19,124223,7,Engineering,47,5.354160563661353,true,2,5
5637,33,49465,24,Sales,43,4.729114636150518,false,4,10
5887,32,51292,10,Marketing,32,7.764193228478869,true,1,3
5902,52,37835,10,HR,52,0.3638608642180008,true,3,1
6029,61,93226,17,Engineering,57,7.639780976739593,false,4,4
6047,20,56398,20,Marketing,37,5.168753368273999,true,2,13
6090,25,51683,20,Marketing,33,5.504510697401907,false,5,10
6092,22,133068,6,Sales,53,1.9254553836015198,true,1,2
6329,42,141688,32,Marketing,43,7.177696831804092,true,3,11
6422,63,98232,16,HR,49,2.782220869153563,true,2,9
6597,56,33212,36,Engineering,31,3.605928504364063,false,2,19
6710,37,110731,6,Sales,32,2.269993587983837,true,5,6
6945,43,96399,29,Support,41,6.5638159701429055,true,1,8
7096,60,58365,37,Support,44,0.009636852040639798,true,3,4
7181,57,124929,2,Support,57,6.440088220539092,true,1,8
7572,31,128297,20,Marketing,39,8.953928874693764,true,1,3
8055,65,91471,15,Support,46,6.554214026309108,true,1,13
8405,69,68502,39,Engineering,56,1.093208519866512,false,5,15
8475,40,45624,37,Marketing,36,6.920873812896026,false,2,7
8545,61,31067,15,Support,43,2.3519814933359893,false,2,16
8552,38,110913,31,Support,49,1.0441421412980922,true,2,12
8559,55,36114,20,Engineering,31,5.1191826565780785,false,3,1
8595,40,133909,35,HR,34,0.44263352147275836,false,3,11
8838,56,110383,36,Marketing,38,4.498794973126158,true,3,13
9319,67,123057,37,Marketing,57,8.219050234502541,false,2,2
9359,20,136081,36,Engineering,52,5.802888236446817,false,5,5
9415,61,73098,21,HR,46,6.222579902036161,true,3,9
9602,20,33684,20,HR,33,0.79800972013372,false,2,2
9797,66,34132,36,Marketing,43,8.997905592418325,false,3,3
43,68,34782,30,Sales,46,7.578111595507295,false,4,1
78,51,104991,3,Support,53,9.550007575025525,false,5,8
314,28,115914,27,Engineering,55,4.169509810736891,true,4,6
717,20,96133,8,Marketing,41,8.669008735859729,false,5,10
719,30,115193,25,HR,46,9.32744325146608,false,2,6
742,33,75532,13,Support,45,1.8960916638719472,true,3,4
1032,57,74648,6,Engineering,35,9.11464418192727,true,3,16
1251,57,49551,31,Support,58,7.288663524779126,false,5,13
1944,30,92537,9,Engineering,46,5.824657306508772,false,5,11
2024,30,81248,19,Sales,36,6.482905281740829,false,2,10
2113,20,78458,31,Marketing,58,8.854805685321432,false,5,12
2442,60,106256,20,Support,30,7.791812869319703,true,2,1
2629,64,70794,6,Engineering,58,5.098567726450187,false,3,18
3610,39,107339,5,Marketing,34,7.328420815506414,false,4,19
3908,43,77632,21,Marketing,53,5.960097623487752,true,1,9
4301,26,43454,4,HR,43,8.621257811243133,false,1,10
4324,45,111015,33,Sales,37,6.720952939092465,false,5,19
4521,28,70985,34,HR,40,1.1964252453905566,false,2,19
4584,61,143828,27,Sales,38,9.624050340532268,true,3,15
4674,45,85248,36,Support,55,9.594946279169905,false,3,6
4836,57,93965,14,Engineering,58,0.2343154888902932,false,4,7
4996,24,69807,38,Support,49,6.002095181307707,false,4,1
5248,51,114631,3,HR,30,6.5277975545219284,true,2,17
5727,52,138378,5,Engineering,50,5.551478548266743,true,2,4
5959,55,103177,5,Marketing,56,6.588647640728128,true,5,1
6018,20,72749,7,Marketing,33,1.1932065971931705,true,2,2
6971,56,77498,29,Engineering,30,2.9133817171337295,false,2,16
6987,35,106286,38,Marketing,46,6.822443614324491,false,2,8
7139,35,31128,0,Sales,41,7.047827936796748,true,5,11
7311,23,61335,15,Support,35,8.423436716624867,false,2,6
7328,21,31942,10,HR,58,4.233790862331194,false,3,3
