Category,Value,Timestamp
Category 0,65,2024-01-01
Category 1,83,2024-01-02
Category 2,78,2024-01-03
Category 3,40,2024-01-04
Category 4,69,2024-01-05
Category 0,18,2024-01-06
Category 1,49,2024-01-07
Category 2,46,2024-01-08
Category 3,97,2024-01-09
Category 4,12,2024-01-10
Category 0,96,2024-01-11
Category 1,62,2024-01-12
Category 2,96,2024-01-13
Category 3,29,2024-01-14
Category 4,78,2024-01-15
Category 0,12,2024-01-16
Category 1,69,2024-01-17
Category 2,12,2024-01-18
Category 3,40,2024-01-19
Category 4,49,2024-01-20
Category 0,55,2024-01-21
Category 1,33,2024-01-22
Category 2,28,2024-01-23
Category 3,71,2024-01-24
Category 4,18,2024-01-25
Category 0,66,2024-01-26
Category 1,34,2024-01-27
Category 2,16,2024-01-28
Category 3,55,2024-01-29
Category 4,77,2024-01-30
Category 0,36,2024-01-31
Category 1,11,2024-02-01
Category 2,13,2024-02-02
Category 3,97,2024-02-03
Category 4,49,2024-02-04
Category 0,19,2024-02-05
Category 1,63,2024-02-06
Category 2,59,2024-02-07
Category 3,73,2024-02-08
Category 4,85,2024-02-09
Category 0,87,2024-02-10
Category 1,57,2024-02-11
Category 2,80,2024-02-12
Category 3,11,2024-02-13
Category 4,65,2024-02-14
Category 0,82,2024-02-15
Category 1,12,2024-02-16
Category 2,61,2024-02-17
Category 3,25,2024-02-18
Category 4,50,2024-02-19
Category 0,43,2024-02-20
Category 1,70,2024-02-21
Category 2,65,2024-02-22
Category 3,50,2024-02-23
Category 4,77,2024-02-24
Category 0,30,2024-02-25
Category 1,97,2024-02-26
Category 2,73,2024-02-27
Category 3,92,2024-02-28
Category 4,37,2024-02-29
Category 0,77,2024-03-01
Category 1,27,2024-03-02
Category 2,14,2024-03-03
Category 3,73,2024-03-04
Category 4,58,2024-03-05
Category 0,64,2024-03-06
Category 1,23,2024-03-07
Category 2,100,2024-03-08
Category 3,69,2024-03-09
Category 4,72,2024-03-10
Category 0,39,2024-03-11
Category 1,95,2024-03-12
Category 2,25,2024-03-13
Category 3,91,2024-03-14
Category 4,33,2024-03-15
Category 0,21,2024-03-16
Category 1,72,2024-03-17
Category 2,11,2024-03-18
Category 3,88,2024-03-19
Category 4,96,2024-03-20
Category 0,14,2024-03-21
Category 1,28,2024-03-22
Category 2,100,2024-03-23
Category 3,98,2024-03-24
Category 4,75,2024-03-25
Category 0,76,2024-03-26
Category 1,45,2024-03-27
Category 2,30,2024-03-28
Category 3,24,2024-03-29
Category 4,30,2024-03-30
Category 0,49,2024-03-31
Category 1,59,2024-04-01
Category 2,74,2024-04-02
Category 3,80,2024-04-03
Category 4,52,2024-04-04
Category 0,40,2024-04-05
Category 1,33,2024-04-06
Category 2,89,2024-04-07
Category 3,35,2024-04-08
Category 4,33,2024-04-09
Category 0,53,2024-04-10
Category 1,39,2024-04-11
Category 2,48,2024-04-12
Category 3,59,2024-04-13
Category 4,58,2024-04-14
Category 0,47,2024-04-15
Category 1,99,2024-04-16
Category 2,29,2024-04-17
Category 3,29,2024-04-18
Category 4,45,2024-04-19
Category 0,71,2024-04-20
Category 1,95,2024-04-21
Category 2,54,2024-04-22
Category 3,30,2024-04-23
Category 4,19,2024-04-24
Category 0,44,2024-04-25
Category 1,77,2024-04-26
Category 2,44,2024-04-27
Category 3,76,2024-04-28
Category 4,11,2024-04-29
Category 0,76,2024-04-30
Category 1,46,2024-05-01
Category 2,14,2024-05-02
Category 3,55,2024-05-03
Category 4,89,2024-05-04
Category 0,18,2024-05-05
Category 1,59,2024-05-06
Category 2,61,2024-05-07
Category 3,73,2024-05-08
Category 4,89,2024-05-09
Category 0,31,2024-05-10
Category 1,15,2024-05-11
Category 2,72,2024-05-12
Category 3,29,2024-05-13
Category 4,32,2024-05-14
Category 0,43,2024-05-15
Category 1,40,2024-05-16
Category 2,20,2024-05-17
Category 3,25,2024-05-18
Category 4,30,2024-05-19
Category 0,77,2024-05-20
Category 1,48,2024-05-21
Category 2,78,2024-05-22
Category 3,36,2024-05-23
Category 4,48,2024-05-24
Category 0,67,2024-05-25
Category 1,51,2024-05-26
Category 2,93,2024-05-27
Category 3,72,2024-05-28
Category 4,79,2024-05-29
Category 0,64,2024-05-30
Category 1,40,2024-05-31
Category 2,64,2024-06-01
Category 3,72,2024-06-02
Category 4,97,2024-06-03
Category 0,85,2024-06-04
Category 1,79,2024-06-05
